"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 17 01:47:49 GMT 2022","Thu Nov 17 01:47:52 GMT 2022","3095","","Search functionality","","Search functionality","should click on selection","should click on selection",""
"passed","Thu Nov 17 01:47:49 GMT 2022","Thu Nov 17 01:47:49 GMT 2022","21","","Search functionality","","Search functionality","should be 10 results on page","should be 10 results on page",""
"passed","Thu Nov 17 01:47:53 GMT 2022","Thu Nov 17 01:47:53 GMT 2022","151","","About","","About","should be on about page","should be on about page",""
"passed","Thu Nov 17 01:47:49 GMT 2022","Thu Nov 17 01:47:49 GMT 2022","51","","Search functionality","","Search functionality","should check first result in the list","should check first result in the list",""
"passed","Thu Nov 17 01:47:42 GMT 2022","Thu Nov 17 01:47:47 GMT 2022","5234","","Search functionality","","Search functionality","should load landing page properly","should load landing page properly",""
"passed","Thu Nov 17 01:47:47 GMT 2022","Thu Nov 17 01:47:49 GMT 2022","1715","","Search functionality","","Search functionality","should make a search","should make a search",""
"passed","Thu Nov 17 01:47:52 GMT 2022","Thu Nov 17 01:47:53 GMT 2022","528","","About","","About","should open about","should open about",""
"failed","Thu Nov 17 01:47:49 GMT 2022","Thu Nov 17 01:47:49 GMT 2022","265","","Search functionality","","Search functionality","should verify title text","should verify title text",""
