"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 19:57:40 GMT 2022","Tue Nov 29 19:57:41 GMT 2022","1042","","About","","About","should be on about page","should be on about page",""
"passed","Tue Nov 29 19:57:35 GMT 2022","Tue Nov 29 19:57:38 GMT 2022","3113","","Search functionality","","Search functionality","should click on selection","should click on selection",""
"passed","Tue Nov 29 19:57:35 GMT 2022","Tue Nov 29 19:57:35 GMT 2022","20","","Search functionality","","Search functionality","should check first result in the list","should check first result in the list",""
"passed","Tue Nov 29 19:57:31 GMT 2022","Tue Nov 29 19:57:32 GMT 2022","1504","","Search functionality","","Search functionality","should load landing page properly","should load landing page properly",""
"passed","Tue Nov 29 19:57:38 GMT 2022","Tue Nov 29 19:57:40 GMT 2022","2510","","About","","About","should open about","should open about",""
"failed","Tue Nov 29 19:57:34 GMT 2022","Tue Nov 29 19:57:35 GMT 2022","301","","Search functionality","","Search functionality","should verify title text","should verify title text",""
"passed","Tue Nov 29 19:57:35 GMT 2022","Tue Nov 29 19:57:35 GMT 2022","21","","Search functionality","","Search functionality","should be 10 results on page","should be 10 results on page",""
"passed","Tue Nov 29 19:57:32 GMT 2022","Tue Nov 29 19:57:34 GMT 2022","2287","","Search functionality","","Search functionality","should make a search","should make a search",""
